,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed
56187,4.192742394,3.782162417,11.49641901,77.75479733,1.5608164,2.776579115,0.998848238,1.229832738,0.467000855,0.357766495,8.313742656,33.82300205,0.004007064,2.869581675,0.001483792,0.001310773,-0.005609609,-0.002470128,-6.18E-05,-1.84E-05,-0.000525463,-2.45E-06,-4.43E-05,-7.05E-06,0.015842541,309.8985604,3.21E-16,-1.109984339,0.000289367,0.000935428,5.72E-06,6.60E-05,0.000146267,0.002119889,0.95909298,1.047317793,1.110758009,1.947505343,1.422371569,0.840344017,1.254188746,0,0.967429432,0,1.037166388,276.3238012,23774376
56732,3.968967175,3.036609577,11.1898061,62.6521353,0.758697296,3.362561235,0.574906793,0.870785304,0.100947909,0.356691894,7.419582684,37.8395842,-0.000479067,2.605552348,0.002062328,0.020210387,-0.005008539,-0.003749089,-9.72E-05,-2.43E-05,-0.000506406,-3.17E-06,-6.73E-05,-6.17E-06,0.007038521,36.94952531,1.67E-11,-1.050174025,0.000262718,0.000942999,-0.000168628,5.41E-05,0.000186638,0.001554294,0.904910304,0.876172619,0.949252788,1.161745396,1.13770813,1.06952821,1.065189536,0,1.461102291,0,0.972796732,276.9090071,23991831
59560,13.94632813,4.838255621,9.862124835,58.9726837,1.051413772,1.879742863,0.354306777,0.797159644,1.461592049,0.607197438,8.109689196,35.96043648,0.000350255,2.488219045,0.002071885,0.00108453,-0.003743466,-0.002827261,-7.61E-05,-1.03E-05,-0.000569109,-3.13E-06,-4.66E-05,-6.02E-06,0.007808293,20.13871682,2.55E-17,-1.179812955,0.000242231,0.000923009,-7.85E-05,4.57E-05,-0.0001016,0.000768644,1.204971737,1.085550519,1.126381928,1.306351336,1.013276944,0.848712715,0.200224366,0,2.145683957,0,1.02252172,278.2970384,25120203
61148,10.5267958,5.230655296,5.909512051,60.46378496,1.182336595,2.846863819,0.891174154,1.621141834,0.606019944,0.612456771,8.819496833,33.19191549,0.002394605,3.620112399,0.00111657,0.037803008,-0.002543169,-0.001571525,-6.78E-05,-2.36E-05,-0.000559637,-2.97E-06,-5.34E-05,-7.11E-06,0.002697551,1.50E-16,0.00171076,-2.929822837,0.000250559,0.00075575,-0.000117051,0.000136999,-4.12E-05,0.001295502,1.077533102,1.004107411,1.043493051,0.211271441,1.22491232,0.820576931,0.949391046,0,0.855054517,0,1.074072247,278.1734965,25753815
63424,17.75229174,3.753873378,31.5941307,87.55852625,1.282266632,2.827713982,1.316438328,1.302257852,1.602379958,0.436612704,8.292663226,36.6047472,-0.001834811,1.532496212,0.004497537,0.016427288,-0.005916011,-0.002499483,-8.33E-05,-1.01E-05,-0.000533001,-2.08E-06,-9.51E-06,-6.09E-06,0.009250604,1.41E-12,0.124088776,-1.254020742,0.000279716,0.00137322,-2.38E-05,9.94E-05,7.56E-05,0.000560256,0.880210968,0.992303329,0.869571155,1.294038388,0.850904652,0.829304715,1.029580263,0,2.224706995,0,1.035582272,279.4375516,26661939
64335,0.711496812,2.75989564,26.03129358,76.32664424,1.186116308,1.912916222,0.825590899,0.890197188,0.475758889,0.210994516,8.626427187,32.58430881,0.006342853,3.716108794,-0.000533723,0.019539794,-0.004669874,-0.001333521,-5.19E-05,-3.15E-05,-0.000551962,-3.09E-06,-2.91E-05,-7.48E-06,0.015701176,1.812969784,1.03E-17,-1.248649009,0.000192506,0.001422687,3.02E-05,0.000219504,6.65E-05,0.002037966,0.832009068,1.010011643,1.106801856,0.875302239,1.090920911,1.022380484,0.950992437,0,1.115734969,0,1.060280736,275.1299042,27025428
66334,10.74273882,4.588575102,30.91297785,51.67586368,1.042404635,3.605351418,1.427839864,1.622878932,1.395032531,0.472528934,8.269165793,29.74362924,0.006415312,0.077294444,0.004052511,0.046350548,-0.003754978,-0.00042471,-6.64E-05,3.80E-06,-0.000590825,-1.00E-06,-2.93E-05,-6.94E-06,2.04E-07,6.99E-10,3.75E-06,-16233.84253,0.000236951,0.001678346,-4.55E-05,0.00016722,-0.000213475,0.001375384,0.897864156,0.961394751,0.882581095,0.366703249,1.132650717,0.987144533,1.208845242,0,1.038435698,0,1.034132097,280.782705,27823029
66838,13.0825875,5.453394555,19.29285969,66.14365774,1.474517459,2.560134049,0.870904517,1.372192916,1.022005049,0.232491351,7.341564328,35.81421479,0.001743472,1.932965374,0.002924208,0.024039942,-0.003968235,-0.005486479,-8.73E-05,-1.75E-07,-0.00054861,-2.73E-06,-3.08E-05,-7.19E-06,0.003318625,752.9888462,2.57E-11,-0.371120183,0.000217064,0.001511251,-2.25E-05,6.58E-05,-0.000582003,0.000937794,1.026933109,1.051674531,1.122670876,1.532819786,0.483965536,1.186322166,0.729869328,0,1.234785689,0,0.966319302,274.4237978,28024125
68583,5.543957826,4.635072121,9.169770908,47.63679772,0.725989122,3.517940594,0.60301514,1.439682872,0.51787241,0.477562535,7.066062947,29.5859577,0.009459876,1.620995441,-0.000430891,0.031483461,-0.003003464,-0.003321784,-6.61E-05,5.38E-06,-0.000597182,-1.45E-06,-4.88E-05,-7.26E-06,0.004239112,0.375593388,0.011745471,-1.521401497,0.000228885,0.001711669,3.72E-05,0.000207558,-7.94E-05,0.000444301,0.855033434,1.161059026,1.041884697,1.53411263,0.92497278,1.118413957,1.049570718,0,0.806861777,0,0.94607128,276.9242598,28720380
68980,19.34666341,2.591607537,16.10063337,92.75794894,1.491590962,5.156536585,0.66584311,0.97414844,1.738612357,0.31162573,8.343286616,34.81829679,0.002815782,2.228610577,0.001591974,0.024265122,-0.001561329,-0.002188398,-5.11E-05,-1.41E-05,-0.000567187,-2.06E-06,-5.79E-05,-6.76E-06,0.005981312,1.77E-07,0.05204733,-1.968205037,0.000247825,0.001196347,3.99E-05,0.00020567,-6.18E-05,0.000230682,1.002996524,0.92476426,0.98751381,1.496289615,1.113682456,0.915881525,1.630705235,0,1.476630331,0,1.03940097,276.5473398,28878783
