Year,CO2-BAU,CH4-BAU,N2O-BAU,HFC-BAU,PFC-BAU,SF6-BAU,CO2B-BAU,CH4B-BAU,CO2-S1,CH4-S1,N2O-S1,HFC-S1,PFC-S1,SF6-S1,CO2B-S1,CH4B-S1,CO2-S2,CH4-S2,N2O-S2,HFC-S2,PFC-S2,SF6-S2,CO2B-S2,CH4B-S2,CO2-S3,CH4-S3,N2O-S3,HFC-S3,PFC-S3,SF6-S3,CO2B-S3,CH4B-S3
1822,74.95,1072.63,506.07,0,0,0,1180.9,1072.63,74.95,1072.63,506.07,0,0,0,1180.9,1072.63,74.95,1072.63,506.07,0,0,0,1180.9,1072.63,74.95,1072.63,506.07,0,0,0,1180.9,1072.63
1823,79.95,1095.16,514.99,0,0,0,1201.61,1095.16,79.95,1095.16,514.99,0,0,0,1201.61,1095.16,79.95,1095.16,514.99,0,0,0,1201.61,1095.16,79.95,1095.16,514.99,0,0,0,1201.61,1095.16
1824,79.95,1117.95,523.9,0,0,0,1222.33,1117.95,79.95,1117.95,523.9,0,0,0,1222.33,1117.95,79.95,1117.95,523.9,0,0,0,1222.33,1117.95,79.95,1117.95,523.9,0,0,0,1222.33,1117.95
1825,84.95,1141.02,532.82,0,0,0,1243.05,1141.02,84.95,1141.02,532.82,0,0,0,1243.05,1141.02,84.95,1141.02,532.82,0,0,0,1243.05,1141.02,84.95,1141.02,532.82,0,0,0,1243.05,1141.02
1826,84.95,1164.38,541.75,0,0,0,1263.77,1164.38,84.95,1164.38,541.75,0,0,0,1263.77,1164.38,84.95,1164.38,541.75,0,0,0,1263.77,1164.38,84.95,1164.38,541.75,0,0,0,1263.77,1164.38
1827,89.94,1188.02,550.67,0,0,0,1284.48,1188.02,89.94,1188.02,550.67,0,0,0,1284.48,1188.02,89.94,1188.02,550.67,0,0,0,1284.48,1188.02,89.94,1188.02,550.67,0,0,0,1284.48,1188.02
1828,89.94,1211.96,559.6,0,0,0,1305.2,1211.96,89.94,1211.96,559.6,0,0,0,1305.2,1211.96,89.94,1211.96,559.6,0,0,0,1305.2,1211.96,89.94,1211.96,559.6,0,0,0,1305.2,1211.96
1829,89.94,1236.22,568.53,0,0,0,1325.92,1236.22,89.94,1236.22,568.53,0,0,0,1325.92,1236.22,89.94,1236.22,568.53,0,0,0,1325.92,1236.22,89.94,1236.22,568.53,0,0,0,1325.92,1236.22
1830,119.93,1260.79,577.47,0,0,0,1346.64,1260.79,119.93,1260.79,577.47,0,0,0,1346.64,1260.79,119.93,1260.79,577.47,0,0,0,1346.64,1260.79,119.93,1260.79,577.47,0,0,0,1346.64,1260.79
1831,114.93,1285.69,586.41,0,0,0,1367.35,1285.69,114.93,1285.69,586.41,0,0,0,1367.35,1285.69,114.93,1285.69,586.41,0,0,0,1367.35,1285.69,114.93,1285.69,586.41,0,0,0,1367.35,1285.69
1832,114.93,1310.92,595.35,0,0,0,1388.07,1310.92,114.93,1310.92,595.35,0,0,0,1388.07,1310.92,114.93,1310.92,595.35,0,0,0,1388.07,1310.92,114.93,1310.92,595.35,0,0,0,1388.07,1310.92
1833,119.93,1336.51,604.29,0,0,0,1408.79,1336.51,119.93,1336.51,604.29,0,0,0,1408.79,1336.51,119.93,1336.51,604.29,0,0,0,1408.79,1336.51,119.93,1336.51,604.29,0,0,0,1408.79,1336.51
1834,119.93,1362.46,613.24,0,0,0,1429.51,1362.46,119.93,1362.46,613.24,0,0,0,1429.51,1362.46,119.93,1362.46,613.24,0,0,0,1429.51,1362.46,119.93,1362.46,613.24,0,0,0,1429.51,1362.46
1835,124.92,1388.77,622.19,0,0,0,1450.22,1388.77,124.92,1388.77,622.19,0,0,0,1450.22,1388.77,124.92,1388.77,622.19,0,0,0,1450.22,1388.77,124.92,1388.77,622.19,0,0,0,1450.22,1388.77
1836,144.91,1415.47,631.15,0,0,0,1470.94,1415.47,144.91,1415.47,631.15,0,0,0,1470.94,1415.47,144.91,1415.47,631.15,0,0,0,1470.94,1415.47,144.91,1415.47,631.15,0,0,0,1470.94,1415.47
1837,144.91,1442.57,640.11,0,0,0,1491.66,1442.57,144.91,1442.57,640.11,0,0,0,1491.66,1442.57,144.91,1442.57,640.11,0,0,0,1491.66,1442.57,144.91,1442.57,640.11,0,0,0,1491.66,1442.57
1838,149.91,1470.07,649.07,0,0,0,1512.38,1470.07,149.91,1470.07,649.07,0,0,0,1512.38,1470.07,149.91,1470.07,649.07,0,0,0,1512.38,1470.07,149.91,1470.07,649.07,0,0,0,1512.38,1470.07
1839,154.9,1497.99,658.04,0,0,0,1533.09,1497.99,154.9,1497.99,658.04,0,0,0,1533.09,1497.99,154.9,1497.99,658.04,0,0,0,1533.09,1497.99,154.9,1497.99,658.04,0,0,0,1533.09,1497.99
1840,164.9,1526.34,667.01,0,0,0,1553.81,1526.34,164.9,1526.34,667.01,0,0,0,1553.81,1526.34,164.9,1526.34,667.01,0,0,0,1553.81,1526.34,164.9,1526.34,667.01,0,0,0,1553.81,1526.34
1841,169.89,1555.14,675.98,0,0,0,1574.53,1555.14,169.89,1555.14,675.98,0,0,0,1574.53,1555.14,169.89,1555.14,675.98,0,0,0,1574.53,1555.14,169.89,1555.14,675.98,0,0,0,1574.53,1555.14
1842,179.89,1584.4,684.96,0,0,0,1595.25,1584.4,179.89,1584.4,684.96,0,0,0,1595.25,1584.4,179.89,1584.4,684.96,0,0,0,1595.25,1584.4,179.89,1584.4,684.96,0,0,0,1595.25,1584.4
1843,184.88,1614.13,693.95,0,0,0,1615.96,1614.13,184.88,1614.13,693.95,0,0,0,1615.96,1614.13,184.88,1614.13,693.95,0,0,0,1615.96,1614.13,184.88,1614.13,693.95,0,0,0,1615.96,1614.13
1844,194.88,1644.35,702.94,0,0,0,1636.68,1644.35,194.88,1644.35,702.94,0,0,0,1636.68,1644.35,194.88,1644.35,702.94,0,0,0,1636.68,1644.35,194.88,1644.35,702.94,0,0,0,1636.68,1644.35
1845,214.87,1675.07,711.93,0,0,0,1657.4,1675.07,214.87,1675.07,711.93,0,0,0,1657.4,1675.07,214.87,1675.07,711.93,0,0,0,1657.4,1675.07,214.87,1675.07,711.93,0,0,0,1657.4,1675.07
1846,214.87,1706.31,720.93,0,0,0,1678.12,1706.31,214.87,1706.31,720.93,0,0,0,1678.12,1706.31,214.87,1706.31,720.93,0,0,0,1678.12,1706.31,214.87,1706.31,720.93,0,0,0,1678.12,1706.31
1847,229.86,1738.14,729.94,0,0,0,1698.83,1738.14,229.86,1738.14,729.94,0,0,0,1698.83,1738.14,229.86,1738.14,729.94,0,0,0,1698.83,1738.14,229.86,1738.14,729.94,0,0,0,1698.83,1738.14
1848,234.85,2020.09,738.95,0,0,0,1719.55,2020.09,234.85,2020.09,738.95,0,0,0,1719.55,2020.09,234.85,2020.09,738.95,0,0,0,1719.55,2020.09,234.85,2020.09,738.95,0,0,0,1719.55,2020.09
1849,249.84,2028.47,747.96,0,0,0,1740.27,2028.47,249.84,2028.47,747.96,0,0,0,1740.27,2028.47,249.84,2028.47,747.96,0,0,0,1740.27,2028.47,249.84,2028.47,747.96,0,0,0,1740.27,2028.47
1850,269.83,2427.67,756.99,0,0,0,1760.99,2427.67,269.83,2427.67,756.99,0,0,0,1760.99,2427.67,269.83,2427.67,756.99,0,0,0,1760.99,2427.67,269.83,2427.67,756.99,0,0,0,1760.99,2427.67
1851,269.83,2637.04,767.58,0,0,0,1733.94,2637.04,269.83,2637.04,767.58,0,0,0,1733.94,2637.04,269.83,2637.04,767.58,0,0,0,1733.94,2637.04,269.83,2637.04,767.58,0,0,0,1733.94,2637.04
1852,284.82,2999.95,834.49,0,0,0,1935.11,2999.95,284.82,2999.95,834.49,0,0,0,1935.11,2999.95,284.82,2999.95,834.49,0,0,0,1935.11,2999.95,284.82,2999.95,834.49,0,0,0,1935.11,2999.95
1853,294.82,3664.35,834.69,0,0,0,1930.19,3664.35,294.82,3664.35,834.69,0,0,0,1930.19,3664.35,294.82,3664.35,834.69,0,0,0,1930.19,3664.35,294.82,3664.35,834.69,0,0,0,1930.19,3664.35
1854,344.79,3935.13,834.09,0,0,0,1924.22,3935.13,344.79,3935.13,834.09,0,0,0,1924.22,3935.13,344.79,3935.13,834.09,0,0,0,1924.22,3935.13,344.79,3935.13,834.09,0,0,0,1924.22,3935.13
1855,354.78,4088.67,832.01,0,0,0,1915.93,4088.67,354.78,4088.67,832.01,0,0,0,1915.93,4088.67,354.78,4088.67,832.01,0,0,0,1915.93,4088.67,354.78,4088.67,832.01,0,0,0,1915.93,4088.67
1856,379.76,4147.29,839.22,0,0,0,1936.32,4147.29,379.76,4147.29,839.22,0,0,0,1936.32,4147.29,379.76,4147.29,839.22,0,0,0,1936.32,4147.29,379.76,4147.29,839.22,0,0,0,1936.32,4147.29
1857,384.76,4242.21,846.35,0,0,0,1956.88,4242.21,384.76,4242.21,846.35,0,0,0,1956.88,4242.21,384.76,4242.21,846.35,0,0,0,1956.88,4242.21,384.76,4242.21,846.35,0,0,0,1956.88,4242.21
1858,389.76,4390.16,853.12,0,0,0,1976.29,4390.16,389.76,4390.16,853.12,0,0,0,1976.29,4390.16,389.76,4390.16,853.12,0,0,0,1976.29,4390.16,389.76,4390.16,853.12,0,0,0,1976.29,4390.16
1859,414.74,4688.86,859.82,0,0,0,1995.78,4688.86,414.74,4688.86,859.82,0,0,0,1995.78,4688.86,414.74,4688.86,859.82,0,0,0,1995.78,4688.86,414.74,4688.86,859.82,0,0,0,1995.78,4688.86
1860,454.72,4231.04,866.67,0,0,0,2014.07,4231.04,454.72,4231.04,866.67,0,0,0,2014.07,4231.04,454.72,4231.04,866.67,0,0,0,2014.07,4231.04,454.72,4231.04,866.67,0,0,0,2014.07,4231.04
1861,474.7,3965.84,906.93,0,0,0,2049.99,3965.84,474.7,3965.84,906.93,0,0,0,2049.99,3965.84,474.7,3965.84,906.93,0,0,0,2049.99,3965.84,474.7,3965.84,906.93,0,0,0,2049.99,3965.84
1862,484.7,3446.6,846.08,0,0,0,1838.45,3446.6,484.7,3446.6,846.08,0,0,0,1838.45,3446.6,484.7,3446.6,846.08,0,0,0,1838.45,3446.6,484.7,3446.6,846.08,0,0,0,1838.45,3446.6
1863,519.68,3228.86,852.07,0,0,0,1838.58,3228.86,519.68,3228.86,852.07,0,0,0,1838.58,3228.86,519.68,3228.86,852.07,0,0,0,1838.58,3228.86,519.68,3228.86,852.07,0,0,0,1838.58,3228.86
1864,559.65,3499.64,858.19,0,0,0,1840.09,3499.64,559.65,3499.64,858.19,0,0,0,1840.09,3499.64,559.65,3499.64,858.19,0,0,0,1840.09,3499.64,559.65,3499.64,858.19,0,0,0,1840.09,3499.64
1865,594.63,4052.38,864.64,0,0,0,1842.64,4052.38,594.63,4052.38,864.64,0,0,0,1842.64,4052.38,594.63,4052.38,864.64,0,0,0,1842.64,4052.38,594.63,4052.38,864.64,0,0,0,1842.64,4052.38
1866,609.62,4577.2,869.59,0,0,0,1843.09,4577.2,609.62,4577.2,869.59,0,0,0,1843.09,4577.2,609.62,4577.2,869.59,0,0,0,1843.09,4577.2,609.62,4577.2,869.59,0,0,0,1843.09,4577.2
1867,650.71,4504.62,870.52,0,0,0,1837.16,4504.62,650.71,4504.62,870.52,0,0,0,1837.16,4504.62,650.71,4504.62,870.52,0,0,0,1837.16,4504.62,650.71,4504.62,870.52,0,0,0,1837.16,4504.62
1868,675.84,4384.58,872.73,0,0,0,1831.73,4384.58,675.84,4384.58,872.73,0,0,0,1831.73,4384.58,675.84,4384.58,872.73,0,0,0,1831.73,4384.58,675.84,4384.58,872.73,0,0,0,1831.73,4384.58
1869,710.96,4602.32,874.36,0,0,0,1825.91,4602.32,710.96,4602.32,874.36,0,0,0,1825.91,4602.32,710.96,4602.32,874.36,0,0,0,1825.91,4602.32,710.96,4602.32,874.36,0,0,0,1825.91,4602.32
1870,736.09,4741.9,875.95,0,0,0,1821.45,4741.9,736.09,4741.9,875.95,0,0,0,1821.45,4741.9,736.09,4741.9,875.95,0,0,0,1821.45,4741.9,736.09,4741.9,875.95,0,0,0,1821.45,4741.9
1871,781.21,5071.31,1050.64,0,0,0,1891.27,5071.31,781.21,5071.31,1050.64,0,0,0,1891.27,5071.31,781.21,5071.31,1050.64,0,0,0,1891.27,5071.31,781.21,5071.31,1050.64,0,0,0,1891.27,5071.31
